Name,Preferred Subject,Age,Proficiency,name,age,subject,score
Jennifer Thompson,Language Learning,17.0,9.0,,,,
Donna Brown,Math and Logic,12.0,1.0,,,,
Donna Hernandez,Business,12.0,3.0,,,,
Sarah Williams,Computer Science,14.0,6.0,,,,
Andrew Sanchez,Computer Science,12.0,10.0,,,,
Kimberly Thomas,Personal Development,14.0,5.0,,,,
Margaret Miller,Physical Science and Engineering,13.0,0.0,,,,
Daniel Sanchez,Business,12.0,5.0,,,,
Robert Lee,Personal Development,14.0,5.0,,,,
Karen Taylor,Data Science,15.0,1.0,,,,
Karen Wilson,Information Technology,15.0,9.0,,,,
Paul Hernandez,Computer Science,16.0,1.0,,,,
Richard Wilson,Math and Logic,14.0,10.0,,,,
Betty Rodriguez,Computer Science,12.0,9.0,,,,
Michelle Taylor,Physical Science and Engineering,17.0,3.0,,,,
Sandra Perez,Data Science,13.0,9.0,,,,
Emily Garcia,Arts and Humanities,18.0,6.0,,,,
Mary Lee,Computer Science,14.0,8.0,,,,
Kimberly Ramirez,Business,13.0,7.0,,,,
Barbara Jackson,Physical Science and Engineering,16.0,1.0,,,,
Ashley Miller,Health,17.0,8.0,,,,
Sandra Rodriguez,Information Technology,17.0,6.0,,,,
Paul Sanchez,Business,12.0,10.0,,,,
Michelle Ramirez,Personal Development,14.0,7.0,,,,
Margaret Robinson,Data Science,16.0,1.0,,,,
Andrew White,Health,17.0,7.0,,,,
Patricia Taylor,Business,13.0,0.0,,,,
Richard Lopez,Business,15.0,8.0,,,,
Sandra Jones,Information Technology,14.0,0.0,,,,
Jessica Jones,Computer Science,15.0,10.0,,,,
Karen Ramirez,Arts and Humanities,14.0,4.0,,,,
Margaret Wilson,Personal Development,14.0,9.0,,,,
Christopher Ramirez,Physical Science and Engineering,16.0,2.0,,,,
Robert Lee,Math and Logic,12.0,9.0,,,,
Susan Ramirez,Business,13.0,3.0,,,,
Anthony Rodriguez,Business,12.0,2.0,,,,
Charles Lee,Information Technology,16.0,8.0,,,,
David Rodriguez,Social Sciences,17.0,5.0,,,,
Joshua Davis,Math and Logic,12.0,0.0,,,,
Betty Davis,Computer Science,12.0,7.0,,,,
Linda Jones,Language Learning,15.0,1.0,,,,
Richard Smith,Personal Development,16.0,9.0,,,,
Jessica Sanchez,Social Sciences,14.0,6.0,,,,
Karen Anderson,Language Learning,15.0,1.0,,,,
Ashley Moore,Physical Science and Engineering,14.0,2.0,,,,
Margaret Wilson,Social Sciences,15.0,9.0,,,,
John Miller,Health,12.0,3.0,,,,
David Rodriguez,Math and Logic,15.0,3.0,,,,
William Smith,Data Science,18.0,2.0,,,,
Thomas Sanchez,Personal Development,18.0,1.0,,,,
Sarah Perez,Language Learning,15.0,3.0,,,,
Emily Garcia,Information Technology,16.0,4.0,,,,
John White,Arts and Humanities,14.0,9.0,,,,
Ashley Sanchez,Personal Development,12.0,5.0,,,,
Mary Johnson,Language Learning,12.0,2.0,,,,
Jennifer Hernandez,Personal Development,16.0,2.0,,,,
Joshua Martinez,Health,12.0,0.0,,,,
Robert Lewis,Arts and Humanities,13.0,9.0,,,,
Anthony Lewis,Physical Science and Engineering,15.0,4.0,,,,
Lisa Perez,Data Science,18.0,0.0,,,,
Jennifer Gonzalez,Personal Development,17.0,10.0,,,,
William Davis,Social Sciences,12.0,0.0,,,,
Linda Jackson,Social Sciences,15.0,3.0,,,,
Steven Robinson,Information Technology,16.0,7.0,,,,
Linda Taylor,Computer Science,16.0,10.0,,,,
Donna Harris,Arts and Humanities,17.0,1.0,,,,
Kimberly Rodriguez,Computer Science,16.0,7.0,,,,
Ashley Lewis,Personal Development,17.0,7.0,,,,
Jennifer Davis,Language Learning,17.0,5.0,,,,
Joshua Brown,Data Science,13.0,8.0,,,,
Christopher Hernandez,Information Technology,15.0,8.0,,,,
Donna White,Health,17.0,5.0,,,,
Matthew Sanchez,Social Sciences,12.0,6.0,,,,
Jessica Robinson,Language Learning,15.0,2.0,,,,
Margaret Miller,Computer Science,12.0,7.0,,,,
Elizabeth Brown,Health,12.0,4.0,,,,
Barbara Miller,Computer Science,14.0,8.0,,,,
Sarah Anderson,Business,16.0,0.0,,,,
Anthony Rodriguez,Social Sciences,15.0,6.0,,,,
Donna Johnson,Physical Science and Engineering,15.0,6.0,,,,
Ashley Moore,Business,18.0,1.0,,,,
Lisa Thompson,Data Science,16.0,1.0,,,,
Linda Hernandez,Physical Science and Engineering,15.0,2.0,,,,
Paul Wilson,Language Learning,12.0,6.0,,,,
Donald Perez,Math and Logic,12.0,2.0,,,,
Jessica Rodriguez,Personal Development,16.0,0.0,,,,
Elizabeth Lopez,Arts and Humanities,16.0,10.0,,,,
Donald Thompson,Health,15.0,3.0,,,,
Lisa Clark,Math and Logic,18.0,0.0,,,,
Karen Smith,Data Science,18.0,6.0,,,,
Joshua Johnson,Computer Science,15.0,9.0,,,,
Patricia Thompson,Information Technology,15.0,5.0,,,,
Jessica Rodriguez,Social Sciences,14.0,1.0,,,,
Emily Gonzalez,Health,16.0,6.0,,,,
Karen Lee,Physical Science and Engineering,17.0,5.0,,,,
Lisa Lewis,Information Technology,17.0,7.0,,,,
Linda Moore,Social Sciences,16.0,10.0,,,,
Jessica Ramirez,Language Learning,13.0,1.0,,,,
Mark Gonzalez,Health,17.0,2.0,,,,
James Robinson,Physical Science and Engineering,13.0,1.0,,,,
Betty Robinson,Data Science,13.0,1.0,,,,
Thomas Martinez,Arts and Humanities,15.0,8.0,,,,
Jennifer Robinson,Language Learning,12.0,6.0,,,,
Jessica Martinez,Business,15.0,0.0,,,,
Susan Ramirez,Arts and Humanities,18.0,10.0,,,,
David Robinson,Social Sciences,12.0,1.0,,,,
Mark Lee,Language Learning,17.0,8.0,,,,
Christopher Lewis,Arts and Humanities,14.0,1.0,,,,
Anthony Sanchez,Business,18.0,1.0,,,,
John Rodriguez,Arts and Humanities,12.0,10.0,,,,
Jennifer Clark,Information Technology,14.0,2.0,,,,
Ashley Thomas,Health,16.0,10.0,,,,
Anthony Robinson,Personal Development,13.0,10.0,,,,
Nancy Thompson,Language Learning,14.0,3.0,,,,
Margaret Lewis,Health,13.0,10.0,,,,
Michael Clark,Social Sciences,14.0,9.0,,,,
David Thompson,Social Sciences,14.0,9.0,,,,
Thomas Taylor,Language Learning,17.0,3.0,,,,
Robert Lopez,Language Learning,16.0,3.0,,,,
Anthony Martin,Health,12.0,0.0,,,,
Emily White,Language Learning,16.0,2.0,,,,
Christopher Anderson,Social Sciences,14.0,5.0,,,,
Mary Harris,Data Science,15.0,5.0,,,,
Patricia Lee,Physical Science and Engineering,14.0,9.0,,,,
Barbara Lee,Health,15.0,8.0,,,,
Mark Sanchez,Arts and Humanities,17.0,7.0,,,,
William Smith,Math and Logic,13.0,9.0,,,,
Betty Miller,Social Sciences,16.0,2.0,,,,
Karen Hernandez,Arts and Humanities,14.0,0.0,,,,
Andrew Williams,Data Science,13.0,6.0,,,,
Linda Garcia,Language Learning,14.0,2.0,,,,
Jessica Taylor,Business,13.0,3.0,,,,
William Ramirez,Physical Science and Engineering,13.0,1.0,,,,
Joshua Perez,Physical Science and Engineering,16.0,4.0,,,,
Anthony Sanchez,Business,17.0,10.0,,,,
Christopher Anderson,Information Technology,16.0,5.0,,,,
Donald Ramirez,Information Technology,18.0,9.0,,,,
William Rodriguez,Social Sciences,18.0,6.0,,,,
Barbara Perez,Business,16.0,8.0,,,,
Donna Clark,Arts and Humanities,13.0,10.0,,,,
Christopher Sanchez,Physical Science and Engineering,14.0,8.0,,,,
Charles Miller,Information Technology,13.0,9.0,,,,
Jennifer Wilson,Personal Development,15.0,1.0,,,,
Lisa Garcia,Physical Science and Engineering,15.0,0.0,,,,
Betty Lewis,Physical Science and Engineering,17.0,9.0,,,,
Matthew Clark,Computer Science,13.0,6.0,,,,
Andrew Davis,Physical Science and Engineering,12.0,10.0,,,,
Mary Smith,Arts and Humanities,15.0,1.0,,,,
Emily Lee,Data Science,18.0,9.0,,,,
Michelle Lee,Health,17.0,6.0,,,,
Joseph Robinson,Personal Development,15.0,8.0,,,,
Jennifer Anderson,Data Science,14.0,0.0,,,,
Richard Rodriguez,Business,16.0,4.0,,,,
David Johnson,Personal Development,12.0,5.0,,,,
Betty Martin,Business,12.0,0.0,,,,
Margaret Martin,Language Learning,17.0,5.0,,,,
Thomas Jones,Physical Science and Engineering,14.0,2.0,,,,
Jennifer Lopez,Physical Science and Engineering,16.0,1.0,,,,
David Jackson,Computer Science,18.0,1.0,,,,
Linda Smith,Business,14.0,2.0,,,,
Kimberly Wilson,Information Technology,15.0,0.0,,,,
Sandra Clark,Math and Logic,15.0,3.0,,,,
Ashley Brown,Social Sciences,16.0,6.0,,,,
Joseph Thompson,Business,15.0,0.0,,,,
Susan Miller,Math and Logic,16.0,8.0,,,,
Sarah Martinez,Personal Development,18.0,1.0,,,,
Ashley Gonzalez,Computer Science,13.0,6.0,,,,
William Wilson,Health,12.0,4.0,,,,
Susan Martin,Computer Science,18.0,1.0,,,,
Susan Clark,Computer Science,18.0,8.0,,,,
Charles White,Computer Science,18.0,0.0,,,,
Richard Wilson,Information Technology,13.0,4.0,,,,
Barbara Wilson,Language Learning,12.0,4.0,,,,
Elizabeth Smith,Arts and Humanities,13.0,6.0,,,,
Charles Rodriguez,Computer Science,18.0,0.0,,,,
Jessica Martin,Personal Development,16.0,8.0,,,,
Mark Robinson,Math and Logic,14.0,1.0,,,,
Jessica Lopez,Business,13.0,9.0,,,,
Donna Perez,Data Science,13.0,7.0,,,,
Sandra Williams,Physical Science and Engineering,18.0,1.0,,,,
James Thomas,Social Sciences,15.0,4.0,,,,
William Ramirez,Information Technology,13.0,0.0,,,,
Christopher Thompson,Math and Logic,15.0,8.0,,,,
Betty Perez,Arts and Humanities,18.0,3.0,,,,
Susan Thompson,Business,15.0,4.0,,,,
Matthew Thompson,Math and Logic,15.0,6.0,,,,
Margaret White,Data Science,16.0,9.0,,,,
Joshua Rodriguez,Data Science,16.0,5.0,,,,
Robert Brown,Math and Logic,18.0,4.0,,,,
Emily Johnson,Business,17.0,4.0,,,,
Patricia Hernandez,Arts and Humanities,13.0,9.0,,,,
Jessica Thomas,Personal Development,14.0,5.0,,,,
Daniel Martin,Physical Science and Engineering,14.0,0.0,,,,
Joshua Thompson,Health,12.0,6.0,,,,
John Smith,Physical Science and Engineering,17.0,0.0,,,,
Thomas Taylor,Social Sciences,14.0,9.0,,,,
Michelle Gonzalez,Computer Science,18.0,10.0,,,,
Karen Gonzalez,Math and Logic,17.0,5.0,,,,
Lisa Jones,Data Science,17.0,8.0,,,,
Emily Johnson,Business,12.0,0.0,,,,
Donna Garcia,Computer Science,13.0,6.0,,,,
Thomas Garcia,Math and Logic,14.0,2.0,,,,
Steven Thomas,Data Science,13.0,7.0,,,,
Nancy Lewis,Data Science,18.0,4.0,,,,
Sandra Jones,Information Technology,16.0,5.0,,,,
Jennifer Hernandez,Physical Science and Engineering,14.0,6.0,,,,
Kimberly Wilson,Personal Development,14.0,6.0,,,,
Elizabeth Rodriguez,Physical Science and Engineering,15.0,9.0,,,,
Linda Hernandez,Business,12.0,8.0,,,,
John Jones,Business,13.0,3.0,,,,
Ashley Ramirez,Data Science,12.0,10.0,,,,
Sarah White,Arts and Humanities,18.0,9.0,,,,
Lisa Robinson,Business,16.0,10.0,,,,
Margaret Martinez,Computer Science,15.0,8.0,,,,
Thomas Martin,Physical Science and Engineering,18.0,5.0,,,,
Thomas Taylor,Computer Science,13.0,9.0,,,,
Christopher Wilson,Physical Science and Engineering,12.0,10.0,,,,
David Hernandez,Health,16.0,0.0,,,,
Ashley Harris,Data Science,16.0,7.0,,,,
Elizabeth Moore,Physical Science and Engineering,15.0,4.0,,,,
Mark Johnson,Math and Logic,13.0,2.0,,,,
Richard Jones,Math and Logic,17.0,9.0,,,,
Patricia Davis,Math and Logic,18.0,4.0,,,,
Barbara Johnson,Personal Development,12.0,1.0,,,,
Donald Rodriguez,Social Sciences,17.0,4.0,,,,
David Thompson,Information Technology,15.0,2.0,,,,
Sandra Wilson,Math and Logic,18.0,10.0,,,,
Linda Lewis,Personal Development,18.0,9.0,,,,
Ashley Johnson,Physical Science and Engineering,13.0,10.0,,,,
Mark Lopez,Business,16.0,0.0,,,,
Emily Thomas,Information Technology,18.0,4.0,,,,
Sandra Thomas,Social Sciences,17.0,9.0,,,,
Linda Ramirez,Business,18.0,5.0,,,,
Elizabeth Brown,Information Technology,13.0,7.0,,,,
Daniel Williams,Computer Science,15.0,10.0,,,,
Susan Ramirez,Information Technology,18.0,7.0,,,,
Charles Garcia,Health,15.0,6.0,,,,
David White,Data Science,15.0,2.0,,,,
Steven Clark,Information Technology,15.0,5.0,,,,
Sarah Jackson,Personal Development,17.0,3.0,,,,
Donna Miller,Language Learning,18.0,10.0,,,,
Donna Smith,Business,12.0,10.0,,,,
Kimberly Harris,Physical Science and Engineering,12.0,8.0,,,,
Andrew Garcia,Personal Development,18.0,4.0,,,,
Anthony Robinson,Math and Logic,16.0,7.0,,,,
Robert Davis,Physical Science and Engineering,14.0,6.0,,,,
Ashley Perez,Math and Logic,13.0,6.0,,,,
Michael Lewis,Business,14.0,9.0,,,,
Nancy Smith,Health,13.0,1.0,,,,
Charles Perez,Math and Logic,17.0,9.0,,,,
Linda Gonzalez,Computer Science,17.0,5.0,,,,
Lisa Jackson,Business,15.0,3.0,,,,
Michael Clark,Business,17.0,0.0,,,,
Christopher Jones,Arts and Humanities,16.0,1.0,,,,
Mary Williams,Social Sciences,15.0,6.0,,,,
Sandra Clark,Math and Logic,13.0,4.0,,,,
Donald Anderson,Personal Development,12.0,7.0,,,,
Sarah Martin,Health,18.0,2.0,,,,
James Hernandez,Social Sciences,16.0,8.0,,,,
John Lee,Business,12.0,10.0,,,,
Michelle Anderson,Health,12.0,6.0,,,,
Christopher White,Personal Development,15.0,1.0,,,,
Andrew Jones,Computer Science,12.0,7.0,,,,
Susan Ramirez,Business,13.0,4.0,,,,
Patricia Sanchez,Social Sciences,12.0,10.0,,,,
Charles Hernandez,Physical Science and Engineering,12.0,6.0,,,,
Patricia White,Data Science,18.0,8.0,,,,
Robert Moore,Business,13.0,5.0,,,,
Joshua Gonzalez,Health,17.0,9.0,,,,
Jennifer Gonzalez,Arts and Humanities,18.0,0.0,,,,
Thomas Garcia,Business,14.0,2.0,,,,
Jessica Harris,Language Learning,13.0,10.0,,,,
Betty Williams,Personal Development,13.0,6.0,,,,
Mary Ramirez,Social Sciences,14.0,2.0,,,,
Susan Garcia,Computer Science,17.0,9.0,,,,
Matthew Harris,Computer Science,14.0,7.0,,,,
Betty Martinez,Language Learning,15.0,6.0,,,,
Elizabeth Brown,Social Sciences,13.0,1.0,,,,
Karen Thomas,Math and Logic,17.0,1.0,,,,
Margaret White,Personal Development,12.0,6.0,,,,
Karen Lewis,Computer Science,14.0,6.0,,,,
Joshua Jones,Health,17.0,2.0,,,,
Daniel Perez,Math and Logic,17.0,8.0,,,,
Michael Clark,Physical Science and Engineering,15.0,6.0,,,,
Lisa Taylor,Personal Development,18.0,6.0,,,,
Richard Thomas,Personal Development,18.0,0.0,,,,
Mark Lewis,Data Science,17.0,3.0,,,,
Matthew Thomas,Language Learning,17.0,4.0,,,,
Sarah Jackson,Physical Science and Engineering,15.0,9.0,,,,
Joshua Wilson,Physical Science and Engineering,15.0,8.0,,,,
Jennifer Harris,Health,12.0,2.0,,,,
Margaret Sanchez,Physical Science and Engineering,18.0,4.0,,,,
Lisa Martin,Math and Logic,16.0,6.0,,,,
Barbara Wilson,Personal Development,18.0,8.0,,,,
Margaret Williams,Physical Science and Engineering,18.0,9.0,,,,
John Taylor,Data Science,17.0,10.0,,,,
Nancy Anderson,Business,15.0,10.0,,,,
Joseph Lee,Physical Science and Engineering,12.0,6.0,,,,
Elizabeth Robinson,Arts and Humanities,17.0,7.0,,,,
Ashley Taylor,Computer Science,16.0,10.0,,,,
Kimberly Williams,Business,16.0,0.0,,,,
Charles Anderson,Business,17.0,1.0,,,,
Margaret Williams,Arts and Humanities,15.0,6.0,,,,
Donald Martinez,Information Technology,12.0,5.0,,,,
Elizabeth Jones,Personal Development,15.0,6.0,,,,
Karen Clark,Personal Development,14.0,2.0,,,,
Jessica Taylor,Business,17.0,7.0,,,,
Margaret Martinez,Math and Logic,16.0,7.0,,,,
Andrew Johnson,Business,15.0,10.0,,,,
Emily Williams,Arts and Humanities,14.0,4.0,,,,
John Taylor,Personal Development,18.0,0.0,,,,
Michael Taylor,Arts and Humanities,15.0,2.0,,,,
Margaret Wilson,Language Learning,15.0,1.0,,,,
Michael Anderson,Business,18.0,5.0,,,,
Andrew Clark,Computer Science,15.0,7.0,,,,
Thomas Lopez,Language Learning,15.0,2.0,,,,
Thomas Jackson,Arts and Humanities,14.0,3.0,,,,
Jennifer Harris,Information Technology,12.0,1.0,,,,
Steven Smith,Information Technology,16.0,2.0,,,,
Linda White,Social Sciences,16.0,5.0,,,,
Sandra Garcia,Business,17.0,2.0,,,,
Barbara Clark,Health,17.0,4.0,,,,
Betty Johnson,Information Technology,15.0,2.0,,,,
Jennifer Wilson,Language Learning,16.0,3.0,,,,
Karen Hernandez,Social Sciences,18.0,5.0,,,,
Donna White,Math and Logic,13.0,2.0,,,,
Sandra Harris,Data Science,13.0,5.0,,,,
Mark Martin,Health,14.0,6.0,,,,
Thomas Hernandez,Math and Logic,18.0,0.0,,,,
Barbara Miller,Health,14.0,0.0,,,,
Barbara Williams,Personal Development,12.0,8.0,,,,
Joshua Rodriguez,Social Sciences,12.0,5.0,,,,
Michael Wilson,Social Sciences,16.0,8.0,,,,
Paul Smith,Personal Development,17.0,9.0,,,,
James Gonzalez,Physical Science and Engineering,14.0,4.0,,,,
Linda Smith,Health,13.0,9.0,,,,
David Lee,Business,13.0,6.0,,,,
Donald Anderson,Business,18.0,1.0,,,,
Betty Ramirez,Arts and Humanities,18.0,7.0,,,,
Joshua White,Information Technology,14.0,2.0,,,,
Ashley Martinez,Information Technology,13.0,1.0,,,,
Michelle Clark,Arts and Humanities,17.0,5.0,,,,
Michelle Lopez,Data Science,15.0,0.0,,,,
Betty Sanchez,Physical Science and Engineering,17.0,5.0,,,,
Karen Williams,Physical Science and Engineering,17.0,2.0,,,,
William Jones,Business,14.0,0.0,,,,
James Miller,Health,13.0,10.0,,,,
Linda Clark,Data Science,18.0,5.0,,,,
Mary Thompson,Math and Logic,15.0,3.0,,,,
Richard Ramirez,Physical Science and Engineering,16.0,5.0,,,,
Mary Miller,Business,13.0,3.0,,,,
Donald Lee,Computer Science,17.0,1.0,,,,
Elizabeth Lee,Information Technology,13.0,3.0,,,,
Jessica Wilson,Health,13.0,1.0,,,,
Paul Miller,Arts and Humanities,18.0,8.0,,,,
Jennifer Martinez,Physical Science and Engineering,12.0,4.0,,,,
Sandra Jones,Social Sciences,16.0,5.0,,,,
Donald Wilson,Data Science,12.0,6.0,,,,
Mary Brown,Arts and Humanities,18.0,0.0,,,,
David Lewis,Data Science,14.0,5.0,,,,
Elizabeth White,Social Sciences,13.0,9.0,,,,
Mark Thomas,Computer Science,16.0,9.0,,,,
Donald Smith,Information Technology,17.0,3.0,,,,
Mark Jackson,Language Learning,12.0,4.0,,,,
Jessica Miller,Social Sciences,15.0,10.0,,,,
Charles Jackson,Data Science,12.0,2.0,,,,
Betty Johnson,Personal Development,14.0,3.0,,,,
Nancy Smith,Business,17.0,2.0,,,,
Michael Lee,Math and Logic,14.0,2.0,,,,
Margaret Wilson,Data Science,15.0,1.0,,,,
Ashley White,Math and Logic,17.0,0.0,,,,
Donna Martin,Personal Development,13.0,9.0,,,,
Emily Martinez,Data Science,15.0,1.0,,,,
John Thomas,Health,12.0,2.0,,,,
Betty Thomas,Health,18.0,9.0,,,,
Steven Jackson,Social Sciences,12.0,4.0,,,,
Michelle Robinson,Physical Science and Engineering,14.0,4.0,,,,
Ashley Davis,Computer Science,15.0,3.0,,,,
Patricia Taylor,Computer Science,18.0,1.0,,,,
Mary Wilson,Business,17.0,4.0,,,,
Andrew Hernandez,Business,16.0,10.0,,,,
Emily Williams,Personal Development,12.0,1.0,,,,
Sarah Lewis,Business,12.0,4.0,,,,
Anthony Lewis,Math and Logic,14.0,0.0,,,,
Donald Brown,Arts and Humanities,12.0,8.0,,,,
Ashley Martin,Math and Logic,17.0,7.0,,,,
Daniel Anderson,Business,17.0,8.0,,,,
Margaret Smith,Physical Science and Engineering,12.0,3.0,,,,
David Martinez,Health,12.0,4.0,,,,
Richard Thomas,Business,12.0,3.0,,,,
Daniel Anderson,Math and Logic,15.0,10.0,,,,
Joseph Taylor,Language Learning,17.0,10.0,,,,
Joseph Jackson,Language Learning,18.0,7.0,,,,
Nancy Robinson,Arts and Humanities,13.0,7.0,,,,
Joshua Ramirez,Language Learning,15.0,9.0,,,,
Sandra Jones,Social Sciences,12.0,8.0,,,,
Charles White,Health,12.0,2.0,,,,
Matthew Wilson,Business,16.0,4.0,,,,
Lisa Sanchez,Data Science,12.0,0.0,,,,
Donald Sanchez,Computer Science,13.0,2.0,,,,
David Martin,Computer Science,15.0,1.0,,,,
Susan Martinez,Arts and Humanities,14.0,1.0,,,,
Jennifer Perez,Arts and Humanities,16.0,6.0,,,,
Donald Jones,Information Technology,16.0,8.0,,,,
Barbara Miller,Health,17.0,2.0,,,,
David Martin,Data Science,13.0,3.0,,,,
Ashley Brown,Personal Development,17.0,1.0,,,,
Anthony Thomas,Business,14.0,3.0,,,,
Karen Davis,Social Sciences,18.0,7.0,,,,
Susan Moore,Math and Logic,15.0,9.0,,,,
Patricia Smith,Physical Science and Engineering,14.0,9.0,,,,
Daniel Lewis,Information Technology,16.0,10.0,,,,
Thomas Lopez,Physical Science and Engineering,15.0,8.0,,,,
David Garcia,Personal Development,18.0,1.0,,,,
Steven Johnson,Language Learning,16.0,8.0,,,,
Robert Hernandez,Language Learning,18.0,1.0,,,,
Margaret Brown,Information Technology,13.0,10.0,,,,
Michelle Davis,Physical Science and Engineering,13.0,0.0,,,,
Linda Moore,Personal Development,14.0,0.0,,,,
Joseph Thomas,Data Science,14.0,10.0,,,,
Thomas Hernandez,Computer Science,16.0,9.0,,,,
Daniel Harris,Data Science,16.0,6.0,,,,
John Harris,Personal Development,17.0,2.0,,,,
Emily Rodriguez,Personal Development,13.0,4.0,,,,
Elizabeth Ramirez,Arts and Humanities,14.0,2.0,,,,
Steven Martin,Social Sciences,15.0,6.0,,,,
Michael Thompson,Data Science,12.0,5.0,,,,
Patricia Robinson,Arts and Humanities,16.0,7.0,,,,
Mark Sanchez,Business,13.0,8.0,,,,
Sandra Clark,Health,12.0,9.0,,,,
Linda Brown,Health,14.0,6.0,,,,
Michelle Martin,Arts and Humanities,16.0,3.0,,,,
Michael Clark,Math and Logic,15.0,10.0,,,,
Emily Johnson,Data Science,15.0,5.0,,,,
Steven Brown,Business,16.0,5.0,,,,
David Lee,Data Science,12.0,8.0,,,,
Linda Ramirez,Information Technology,18.0,7.0,,,,
Susan Robinson,Physical Science and Engineering,14.0,7.0,,,,
Lisa Garcia,Physical Science and Engineering,15.0,4.0,,,,
Charles Thompson,Language Learning,13.0,5.0,,,,
Mark Harris,Data Science,17.0,2.0,,,,
Steven Thomas,Computer Science,16.0,6.0,,,,
Michael Jones,Social Sciences,15.0,3.0,,,,
Lisa Hernandez,Information Technology,17.0,4.0,,,,
William Brown,Information Technology,15.0,8.0,,,,
Richard Anderson,Business,18.0,8.0,,,,
Anthony Harris,Personal Development,14.0,8.0,,,,
James Davis,Data Science,17.0,2.0,,,,
Donald Hernandez,Business,18.0,3.0,,,,
Charles Taylor,Information Technology,13.0,7.0,,,,
David Williams,Computer Science,18.0,10.0,,,,
Sarah Lopez,Computer Science,13.0,2.0,,,,
Anthony Lopez,Physical Science and Engineering,12.0,5.0,,,,
Jessica Jones,Data Science,13.0,4.0,,,,
Kimberly Wilson,Health,12.0,4.0,,,,
Joseph Jones,Language Learning,15.0,2.0,,,,
Margaret Wilson,Business,17.0,2.0,,,,
Anthony Lewis,Data Science,13.0,10.0,,,,
Sandra Ramirez,Health,18.0,5.0,,,,
Kimberly Sanchez,Arts and Humanities,17.0,3.0,,,,
Lisa Smith,Data Science,15.0,5.0,,,,
Mark Jones,Computer Science,15.0,1.0,,,,
James Thompson,Math and Logic,14.0,1.0,,,,
Kimberly Williams,Personal Development,13.0,7.0,,,,
Jennifer Hernandez,Math and Logic,18.0,8.0,,,,
Christopher Gonzalez,Data Science,16.0,10.0,,,,
David Wilson,Computer Science,13.0,8.0,,,,
Patricia Gonzalez,Physical Science and Engineering,14.0,2.0,,,,
John Perez,Language Learning,15.0,8.0,,,,
Elizabeth Lewis,Computer Science,16.0,0.0,,,,
Andrew Johnson,Language Learning,14.0,5.0,,,,
Kimberly Martinez,Personal Development,14.0,0.0,,,,
Anthony Gonzalez,Information Technology,18.0,3.0,,,,
Emily Ramirez,Business,16.0,4.0,,,,
Karen White,Math and Logic,13.0,5.0,,,,
Christopher Robinson,Physical Science and Engineering,17.0,5.0,,,,
Daniel Smith,Personal Development,15.0,3.0,,,,
Sarah Lewis,Computer Science,17.0,8.0,,,,
Kimberly Martin,Arts and Humanities,13.0,8.0,,,,
Elizabeth Thompson,Computer Science,14.0,2.0,,,,
Betty Anderson,Computer Science,12.0,8.0,,,,
Susan Lewis,Language Learning,12.0,7.0,,,,
Paul Martin,Arts and Humanities,18.0,2.0,,,,
Michelle Lee,Health,12.0,0.0,,,,
Mark Thompson,Language Learning,17.0,4.0,,,,
Daniel Lewis,Physical Science and Engineering,17.0,7.0,,,,
Betty Harris,Physical Science and Engineering,17.0,6.0,,,,
Richard Lewis,Language Learning,17.0,7.0,,,,
Karen Williams,Language Learning,13.0,6.0,,,,
John Moore,Computer Science,12.0,6.0,,,,
Nancy Gonzalez,Personal Development,16.0,6.0,,,,
William Taylor,Physical Science and Engineering,15.0,0.0,,,,
Paul Martinez,Personal Development,17.0,8.0,,,,
Susan Williams,Information Technology,12.0,2.0,,,,
Steven Moore,Information Technology,12.0,8.0,,,,
Karen Taylor,Data Science,14.0,8.0,,,,
Nancy Harris,Computer Science,17.0,7.0,,,,
David Smith,Arts and Humanities,17.0,4.0,,,,
Mary Lewis,Language Learning,15.0,5.0,,,,
Paul Jackson,Language Learning,18.0,8.0,,,,
Thomas Davis,Business,12.0,7.0,,,,
Karen White,Business,14.0,1.0,,,,
Margaret Taylor,Physical Science and Engineering,12.0,10.0,,,,
Linda White,Health,16.0,2.0,,,,
Patricia Clark,Information Technology,12.0,0.0,,,,
Lisa Rodriguez,Language Learning,16.0,10.0,,,,
Steven Lopez,Personal Development,18.0,7.0,,,,
Linda Johnson,Health,14.0,5.0,,,,
Linda Anderson,Computer Science,14.0,3.0,,,,
Karen Jackson,Language Learning,13.0,1.0,,,,
James Anderson,Arts and Humanities,18.0,10.0,,,,
Nancy Davis,Personal Development,13.0,3.0,,,,
Donna Jackson,Data Science,15.0,6.0,,,,
Paul Ramirez,Language Learning,12.0,8.0,,,,
Joshua Davis,Personal Development,15.0,5.0,,,,
Daniel Martinez,Information Technology,17.0,9.0,,,,
Charles Perez,Data Science,13.0,3.0,,,,
Andrew Perez,Language Learning,17.0,1.0,,,,
William Thompson,Social Sciences,12.0,5.0,,,,
Matthew Taylor,Physical Science and Engineering,17.0,2.0,,,,
Jessica Brown,Social Sciences,17.0,6.0,,,,
Christopher Taylor,Business,17.0,2.0,,,,
Donna Miller,Math and Logic,13.0,1.0,,,,
Lisa Anderson,Computer Science,13.0,10.0,,,,
Michael Jones,Language Learning,14.0,10.0,,,,
Margaret Clark,Data Science,15.0,0.0,,,,
Anthony Williams,Data Science,18.0,7.0,,,,
Jennifer Johnson,Information Technology,17.0,4.0,,,,
